"gid","iso_a2","code","name","level_0","bbox"
100001,"US","01","Alabama","US","-88.473227 30.219643 -84.888246 35.008028"
100002,"US","02","Alaska","US","-179.148537 51.21442 -130.00281 71.387614"
100004,"US","04","Arizona","US","-114.8163 31.332341 -109.045172 37.003725"
100005,"US","05","Arkansas","US","-94.617859 33.004282 -89.640997 36.499749"
100006,"US","06","California","US","-124.413836 32.534314 -114.131211 42.009503"
100008,"US","08","Colorado","US","-109.060204 36.992449 -102.041522 41.003444"
100009,"US","09","Connecticut","US","-73.727775 40.986754 -71.787239 42.050511"
100010,"US","10","Delaware","US","-75.789023 38.451174 -75.047534 39.839516"
100011,"US","11","District of Columbia","US","-77.119759 38.791645 -76.909393 38.995845"
100012,"US","12","Florida","US","-87.634896 24.545389 -80.031588 31.000968"
100013,"US","13","Georgia","US","-85.605165 30.355757 -80.842006 35.001303"
100015,"US","15","Hawaii","US","-175.742175 18.912361 -154.805725 27.927355"
100016,"US","16","Idaho","US","-117.243027 41.988182 -111.043495 49.00075"
100017,"US","17","Illinois","US","-91.513079 36.970298 -87.495199 42.508481"
100018,"US","18","Indiana","US","-88.097892 37.771672 -84.784535 41.760697"
100019,"US","19","Iowa","US","-96.639485 40.37544 -90.140061 43.501196"
100020,"US","20","Kansas","US","-102.051769 36.993016 -94.588387 40.003166"
100021,"US","21","Kentucky","US","-89.571203 36.497058 -81.964788 39.147732"
100022,"US","22","Louisiana","US","-94.043352 28.918477 -88.816666 33.01962"
100023,"US","23","Maine","US","-71.083916 43.064727 -66.950038 47.459786"
100024,"US","24","Maryland","US","-79.487651 37.890169 -75.048416 39.723037"
100025,"US","25","Massachusetts","US","-73.50821 41.23814 -69.930148 42.886778"
100026,"US","26","Michigan","US","-90.418392 41.696118 -82.415723 47.480026"
100027,"US","27","Minnesota","US","-97.239093 43.499361 -89.567104 49.384451"
100028,"US","28","Mississippi","US","-91.655009 30.173394 -88.097888 34.996099"
100029,"US","29","Missouri","US","-95.774704 35.995685 -89.098968 40.61364"
100030,"US","30","Montana","US","-116.049153 44.357915 -104.039694 49.001008"
100031,"US","31","Nebraska","US","-104.053514 39.999932 -95.30829 43.001707"
100032,"US","32","Nevada","US","-120.006473 35.001857 -114.039461 42.001842"
100033,"US","33","New Hampshire","US","-72.557124 42.697042 -70.711955 45.305717"
100034,"US","34","New Jersey","US","-75.559566 38.927588 -73.893628 41.357607"
100035,"US","35","New Mexico","US","-109.050431 31.33216 -103.002043 37.000233"
100036,"US","36","New York","US","-79.761979 40.496555 -71.853722 45.015823"
100037,"US","37","North Carolina","US","-84.321821 33.839249 -75.459831 36.588137"
100038,"US","38","North Dakota","US","-104.049012 45.935072 -96.554411 49.000542"
100039,"US","39","Ohio","US","-84.820305 38.403423 -80.518705 41.976602"
100040,"US","40","Oklahoma","US","-103.002413 33.615787 -94.431014 37.002312"
100041,"US","41","Oregon","US","-124.569507 41.992082 -116.463262 46.272679"
100042,"US","42","Pennsylvania","US","-80.519497 39.719799 -74.689561 42.269365"
100044,"US","44","Rhode Island","US","-71.887843 41.300311 -71.119874 42.018799"
100045,"US","45","South Carolina","US","-83.353928 32.035425 -78.543268 35.215485"
100046,"US","46","South Dakota","US","-104.057879 42.479686 -96.436472 45.945377"
100047,"US","47","Tennessee","US","-90.310491 34.982924 -81.6469 36.678255"
100048,"US","48","Texas","US","-106.645646 25.837164 -93.508039 36.500704"
100049,"US","49","Utah","US","-114.052885 36.997657 -109.041572 42.001702"
100050,"US","50","Vermont","US","-73.437905 42.726933 -71.465047 45.016617"
100051,"US","51","Virginia","US","-83.675395 36.540852 -75.240649 39.466012"
100053,"US","53","Washington","US","-124.736842 45.543541 -116.916071 49.002394"
100054,"US","54","West Virginia","US","-82.644591 37.20154 -77.719519 40.638801"
100055,"US","55","Wisconsin","US","-92.889433 42.491913 -86.970182 46.962775"
100056,"US","56","Wyoming","US","-111.054558 40.994772 -104.052245 45.005815"
100060,"US","60","American Samoa","US","-170.86795 -14.532924 -168.152079 -14.155126"
100066,"US","66","Guam","US","144.61795 13.244528 144.956253 13.652945"
100069,"US","69","Commonwealth of the Northern Mariana Islands","US","144.890366 14.107917 145.871948 20.545389"
100072,"US","72","Puerto Rico","US","-67.947945 17.92375 -65.243774 18.512917"
100078,"US","78","United States Virgin Islands","US","-65.042084 17.672861 -64.563751 18.383667"
